2024-11-22 14:47:11.143 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:47:11.145 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:47:11.148 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:54:51.543 | WARNING  | __main__:<module>:7 - 경고 메시지입니다.
2024-11-22 14:54:51.544 | ERROR    | __main__:<module>:8 - 에러 메시지입니다.
2024-11-22 14:54:51.545 | CRITICAL | __main__:<module>:9 - 심각한 에러 메시지입니다.
2024-11-22 14:54:51.570 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:54:51.571 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:54:51.571 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:54:51.583 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:54:51.583 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:54:51.584 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:54:51.584 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:54:51.584 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:54:51.584 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.736 | WARNING  | __main__:<module>:7 - 경고 메시지입니다.
2024-11-22 14:55:53.736 | WARNING  | __main__:<module>:7 - 경고 메시지입니다.
2024-11-22 14:55:53.737 | ERROR    | __main__:<module>:8 - 에러 메시지입니다.
2024-11-22 14:55:53.737 | ERROR    | __main__:<module>:8 - 에러 메시지입니다.
2024-11-22 14:55:53.738 | CRITICAL | __main__:<module>:9 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.738 | CRITICAL | __main__:<module>:9 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.762 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:53.762 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:53.763 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:53.763 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:53.785 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.785 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.801 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:53.801 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:53.801 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:53.802 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:53.802 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:53.802 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:53.803 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.803 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:53.803 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.602 | WARNING  | __main__:<module>:7 - 경고 메시지입니다.
2024-11-22 14:55:57.602 | WARNING  | __main__:<module>:7 - 경고 메시지입니다.
2024-11-22 14:55:57.602 | WARNING  | __main__:<module>:7 - 경고 메시지입니다.
2024-11-22 14:55:57.604 | ERROR    | __main__:<module>:8 - 에러 메시지입니다.
2024-11-22 14:55:57.604 | ERROR    | __main__:<module>:8 - 에러 메시지입니다.
2024-11-22 14:55:57.604 | ERROR    | __main__:<module>:8 - 에러 메시지입니다.
2024-11-22 14:55:57.605 | CRITICAL | __main__:<module>:9 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.605 | CRITICAL | __main__:<module>:9 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.605 | CRITICAL | __main__:<module>:9 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.633 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.633 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.633 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.633 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.633 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.633 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.634 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.634 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.634 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.643 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.643 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.643 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.643 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:55:57.644 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.644 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.644 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.644 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:55:57.645 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.645 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.645 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:55:57.645 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:56:20.114 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:56:20.115 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:56:20.115 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
